type,id,name,current_email,backup_timestamp
student,61ff6560-b902-49ff-8bb2-2659a420d939,Abebi Abioye,abebi.abioye@student.fairview-school.ng,20260809_084552
student,07c7a506-f190-4d4c-b7a9-de2369d55305,Abebi Adebanjo,abebi.adebanjo@student.fairview-school.ng,20260809_084552
student,35cdac3f-aa98-4ef2-a5f7-07be67133c61,Abebi Anyanwu,abebi.anyanwu@student.fairview-school.ng,20260809_084552
student,276a8376-3f48-44f5-b92e-47540c7bc0a9,Abebi Bamigboye,abebi.bamigboye@student.fairview-school.ng,20260809_084552
student,926d013b-ea1f-46b2-8b19-90f6b5d1f8a3,Abebi Bello,abebi.bello@student.fairview-school.ng,20260809_084552
student,4904b22d-4f20-448f-b1ae-a73c42bc9b92,Abebi Fasola,abebi.fasola@student.fairview-school.ng,20260809_084552
student,7f344dfa-5fa0-4401-89bd-3a4397e73cc0,Abebi Mohammed,abebi.mohammed@student.fairview-school.ng,20260809_084552
student,1b417b7c-efee-4afb-bbdd-3d6a8a6ecbcf,Abebi Okoro,abebi.okoro@student.fairview-school.ng,20260809_084552
student,6e41641c-6469-4b88-bc57-ce3efdb6714a,Abebi Oladele,abebi.oladele@student.fairview-school.ng,20260809_084552
student,2533dbdb-1137-436c-80d8-bd3187a769ea,Abebi Olagoke,abebi.olagoke@student.fairview-school.ng,20260809_084552
student,f0722a59-9209-49bc-a368-03713285e77e,Abebi Opoku,abebi.opoku@student.fairview-school.ng,20260809_084552
student,37d7a6c2-8d6f-4609-9954-0aa8e1c53aeb,Adekunle Adeyemi,adekunle.adeyemi@student.fairview-school.ng,20260809_084552
student,34430b11-0555-4a09-8048-b6a1ef7db2b1,Adekunle Agbaje,adekunle.agbaje@student.fairview-school.ng,20260809_084552
student,759ad396-5c4a-45ec-a0e1-16ad62da6770,Adekunle Ndiaye,adekunle.ndiaye@student.fairview-school.ng,20260809_084552
student,7777b642-6d15-4254-8aa1-a1c40157fffc,Adekunle Okonkwo,adekunle.okonkwo@student.fairview-school.ng,20260809_084552
student,653edc01-84f3-4e14-b4fc-508293009fb2,Adekunle Okoro,adekunle.okoro@student.fairview-school.ng,20260809_084552
student,96e0369b-8d82-405a-a74f-bda98276989e,Adekunle Olagoke,adekunle.olagoke@student.fairview-school.ng,20260809_084552
student,919530ee-45f7-4a8c-afbf-a0df921c1919,Aida Abioye,aida.abioye@student.fairview-school.ng,20260809_084552
student,bb338168-7356-4899-bed5-fb2e2a430a31,Aida Adebanjo,aida.adebanjo@student.fairview-school.ng,20260809_084552
student,74fc4181-fa48-4d22-8533-6067dba11b81,Aida Bello,aida.bello@student.fairview-school.ng,20260809_084552
