student_id,email,temp_password
FSN-0001,chinedu.okoro0001@fairviewschoolng.com,0DWStk8LhCAbcbtkPG3pRQ
FSN-0002,chiamaka.suleiman0002@fairviewschoolng.com,SWT1EEm7d4gSFlpRe5cFeA
FSN-0003,yakubu.danjuma0003@fairviewschoolng.com,mGG9oKlaAQ0MYUC-YqBR9A
FSN-0004,olumide.nnamdi0004@fairviewschoolng.com,BY0wmURp1sWFbDVaMzS-JQ
FSN-0005,chinedu.adeyemi0005@fairviewschoolng.com,85xr1D0oyEeCTbjT-Uw9eQ
FSN-0006,femi.okonkwo0006@fairviewschoolng.com,9vujUdww82Y63nV23dibKw
FSN-0007,suleiman.eze0007@fairviewschoolng.com,lHTfkwjyoB5drN1GuzybnQ
FSN-0008,chiamaka.ogunleye0008@fairviewschoolng.com,ic59WC_jyfKtC8MEFccxYA
FSN-0009,amaka.sani0009@fairviewschoolng.com,DCB95o5kCKlsVq28a5GxtA
FSN-0010,uche.musa0010@fairviewschoolng.com,PBY4RoOyQ5ZpOgrExSwC3g
FSN-0011,fatima.eze0011@fairviewschoolng.com,OTkDSFrL0-mkLeqrU5CYDA
FSN-0012,grace.adeyemi0012@fairviewschoolng.com,CmWJ-9onMlRsgQfX9oCy3Q
FSN-0013,grace.okafor0013@fairviewschoolng.com,fbsCUVK_msuDh6kTAbpFXA
FSN-0014,rukayat.adebayo0014@fairviewschoolng.com,RRqQOlzOHAnKyMQ6xC3ZsA
FSN-0015,kelechi.balogun0015@fairviewschoolng.com,W9YBdwfRVOGKB4QE5dHFgQ
FSN-0016,damilare.adeyemi0016@fairviewschoolng.com,L7xkfZ2By5DD4yGRc9TYPw
FSN-0017,rukayat.lawal0017@fairviewschoolng.com,T-fWPpIGKLRyAX-KsMHnIA
FSN-0018,ndidi.eze0018@fairviewschoolng.com,NBJKXFX8sdYGLlknhOTrVQ
FSN-0019,emeka.danjuma0019@fairviewschoolng.com,YdMzheK7NxxZxhp0CaNLww
FSN-0020,chukwudi.adeyemi0020@fairviewschoolng.com,aV8IYuKPKYeb8WUZ4Hnb5Q
FSN-0021,yakubu.yusuf0021@fairviewschoolng.com,FMDHiHsSehYI-A4en8GLDA
FSN-0022,ronke.nwosu0022@fairviewschoolng.com,SoJIvHlvQpPQ6hJ7cDUfOA
FSN-0023,halima.okafor0023@fairviewschoolng.com,u6ulCpMn3uGAxeuij7nQ3A
